rank,name,boardlife_link,players,players_min,players_max,genre,rating,shopping_link,google_link
117,마르코 폴로 2: 위대한 칸의 이름으로,https://boardlife.co.kr/game/11939,2~4명,2,4,전략게임,7.735,https://search.shopping.naver.com/search/all?query=마르코 폴로 2: 위대한 칸의 이름으로 보드게임,https://www.google.com/search?q=마르코 폴로 2: 위대한 칸의 이름으로 보드게임
118,캐스캐디아,https://boardlife.co.kr/game/13348,1~4명,1,4,추상게임,7.728,https://search.shopping.naver.com/search/all?query=캐스캐디아 보드게임,https://www.google.com/search?q=캐스캐디아 보드게임
119,크로키놀,https://boardlife.co.kr/game/2443,2~4명,2,4,가족게임,7.714,https://search.shopping.naver.com/search/all?query=크로키놀 보드게임,https://www.google.com/search?q=크로키놀 보드게임
120,태그 팀,https://boardlife.co.kr/game/21426,2명,2,2,정보 없음,7.713,https://search.shopping.naver.com/search/all?query=태그 팀 보드게임,https://www.google.com/search?q=태그 팀 보드게임
121,빌리지,https://boardlife.co.kr/game/565,2~4명,2,4,전략게임,7.709,https://search.shopping.naver.com/search/all?query=빌리지 보드게임,https://www.google.com/search?q=빌리지 보드게임
122,워 체스트,https://boardlife.co.kr/game/9918,2~4명,2,4,추상게임,7.708,https://search.shopping.naver.com/search/all?query=워 체스트 보드게임,https://www.google.com/search?q=워 체스트 보드게임
123,태양신 라,https://boardlife.co.kr/game/13750,2~5명,2,5,전략게임,7.707,https://search.shopping.naver.com/search/all?query=태양신 라 보드게임,https://www.google.com/search?q=태양신 라 보드게임
124,윙스팬,https://boardlife.co.kr/game/10661,1~5명,1,5,전략게임,7.705,https://search.shopping.naver.com/search/all?query=윙스팬 보드게임,https://www.google.com/search?q=윙스팬 보드게임
125,하트 오브 크라운,https://boardlife.co.kr/game/3163,2~4명,2,4,전략게임,7.698,https://search.shopping.naver.com/search/all?query=하트 오브 크라운 보드게임,https://www.google.com/search?q=하트 오브 크라운 보드게임
126,크툴루: 죽음마저 죽으리니,https://boardlife.co.kr/game/10012,1~5명,1,5,테마게임,7.697,https://search.shopping.naver.com/search/all?query=크툴루: 죽음마저 죽으리니 보드게임,https://www.google.com/search?q=크툴루: 죽음마저 죽으리니 보드게임
127,로빈슨 크루소: 저주받은 섬에서의 모험,https://boardlife.co.kr/game/932,1~4명,1,4,테마게임,7.695,https://search.shopping.naver.com/search/all?query=로빈슨 크루소: 저주받은 섬에서의 모험 보드게임,https://www.google.com/search?q=로빈슨 크루소: 저주받은 섬에서의 모험 보드게임
128,클랭크!: 카타콤,https://boardlife.co.kr/game/15752,2~4명,2,4,전략게임,7.695,https://search.shopping.naver.com/search/all?query=클랭크!: 카타콤 보드게임,https://www.google.com/search?q=클랭크!: 카타콤 보드게임
129,트루아,https://boardlife.co.kr/game/175,1~4명,1,4,전략게임,7.693,https://search.shopping.naver.com/search/all?query=트루아 보드게임,https://www.google.com/search?q=트루아 보드게임
130,하모니즈,https://boardlife.co.kr/game/19124,1~4명,1,4,추상게임,7.686,https://search.shopping.naver.com/search/all?query=하모니즈 보드게임,https://www.google.com/search?q=하모니즈 보드게임
131,1862: 이스턴 카운티에 불어온 철도 열풍,https://boardlife.co.kr/game/5243,1~8명,1,8,전략게임,7.686,https://search.shopping.naver.com/search/all?query=1862: 이스턴 카운티에 불어온 철도 열풍 보드게임,https://www.google.com/search?q=1862: 이스턴 카운티에 불어온 철도 열풍 보드게임
132,패스 오브 글로리,https://boardlife.co.kr/game/226,2명,2,2,워게임,7.686,https://search.shopping.naver.com/search/all?query=패스 오브 글로리 보드게임,https://www.google.com/search?q=패스 오브 글로리 보드게임
133,이클립스: 은하의 새로운 여명,https://boardlife.co.kr/game/599,2~6명,2,6,전략게임,7.685,https://search.shopping.naver.com/search/all?query=이클립스: 은하의 새로운 여명 보드게임,https://www.google.com/search?q=이클립스: 은하의 새로운 여명 보드게임
134,마라케시,https://boardlife.co.kr/game/15894,2~4명,2,4,전략게임,7.684,https://search.shopping.naver.com/search/all?query=마라케시 보드게임,https://www.google.com/search?q=마라케시 보드게임
135,에이언즈 엔드: 레거시,https://boardlife.co.kr/game/10656,1~4명,1,4,전략게임,7.684,https://search.shopping.naver.com/search/all?query=에이언즈 엔드: 레거시 보드게임,https://www.google.com/search?q=에이언즈 엔드: 레거시 보드게임
136,스플렌더 대결,https://boardlife.co.kr/game/15883,2명,2,2,전략게임,7.683,https://search.shopping.naver.com/search/all?query=스플렌더 대결 보드게임,https://www.google.com/search?q=스플렌더 대결 보드게임
137,태양신 라,https://boardlife.co.kr/game/5481,2~5명,2,5,전략게임,7.682,https://search.shopping.naver.com/search/all?query=태양신 라 보드게임,https://www.google.com/search?q=태양신 라 보드게임
138,아컴 호러: 카드 게임 (개정판),https://boardlife.co.kr/game/15832,1~4명,1,4,컬렉터블 게임,7.681,https://search.shopping.naver.com/search/all?query=아컴 호러: 카드 게임 (개정판) 보드게임,https://www.google.com/search?q=아컴 호러: 카드 게임 (개정판) 보드게임
139,디센트: 어둠속의 여정 (2판),https://boardlife.co.kr/game/816,1~5명,1,5,테마게임,7.671,https://search.shopping.naver.com/search/all?query=디센트: 어둠속의 여정 (2판) 보드게임,https://www.google.com/search?q=디센트: 어둠속의 여정 (2판) 보드게임
140,블랙 프라이데이,https://boardlife.co.kr/game/17567,2~5명,2,5,정보 없음,7.668,https://search.shopping.naver.com/search/all?query=블랙 프라이데이 보드게임,https://www.google.com/search?q=블랙 프라이데이 보드게임
